Date,confirmed,High,Volume,adjusted_close
2020-01-22,1,58.97000122070313,169600.0,54.88725280761719
2020-01-23,1,57.97999954223633,227900.0,54.50045776367188
2020-01-24,2,57.79999923706055,146200.0,53.92498016357422
2020-01-27,5,55.68999862670898,230600.0,52.1513786315918
2020-01-28,5,56.09000015258789,174400.0,52.35892868041992
2020-01-29,5,55.9000015258789,214500.0,52.104209899902344
2020-01-30,5,54.56000137329102,278200.0,51.45326232910156
2020-01-31,7,53.68000030517578,291900.0,49.46268081665039
2020-02-03,11,52.81000137329102,247500.0,48.9249382019043
2020-02-04,11,53.1500015258789,401400.0,49.76456832885742
2020-02-05,11,54.1500015258789,225100.0,50.75514221191406
2020-02-06,11,54.84000015258789,227200.0,51.42495727539063
2020-02-07,11,53.9900016784668,137200.0,50.594764709472656
2020-02-10,11,53.79999923706055,146100.0,50.67023468017578
2020-02-11,12,54.63999938964844,148600.0,51.33061981201172
2020-02-12,12,55.13999938964844,248800.0,51.97213363647461
2020-02-13,13,54.5099983215332,164500.0,51.32118606567383
2020-02-14,13,54.7400016784668,98400.0,51.24571228027344
2020-02-18,13,54.5,157700.0,51.226844787597656
2020-02-19,13,54.6500015258789,125400.0,51.5098648071289
2020-02-20,13,54.52999877929688,111800.0,50.98155975341797
2020-02-21,15,54.08000183105469,204800.0,50.84948348999024
2020-02-24,15,52.45000076293945,172300.0,49.18909072875977
2020-02-25,15,52.27999877929688,332300.0,48.50983810424805
2020-02-26,15,52.5099983215332,229900.0,48.82116317749024
2020-02-27,16,52.40999984741211,347100.0,48.66078567504883
2020-02-28,16,51.59000015258789,382500.0,48.62305068969727
2020-03-02,53,52.709999084472656,317000.0,49.68909454345703
2020-03-03,73,52.68000030517578,222000.0,48.81173324584961
2020-03-04,104,52.22000122070313,197800.0,49.12305450439453
2020-03-05,174,51.61000061035156,311900.0,48.34946060180664
2020-03-06,222,50.5,442300.0,46.64189910888672
2020-03-09,519,47.4900016784668,1103800.0,44.17961883544922
2020-03-10,711,50.02999877929688,511300.0,47.1324691772461
2020-03-11,1109,49.08000183105469,317000.0,45.59472274780274
2020-03-12,1561,45.56000137329102,538700.0,42.50979232788086
2020-03-13,2157,48.38999938964844,667400.0,45.02867889404297
2020-03-16,4360,47.56999969482422,562200.0,43.14187240600586
2020-03-17,6141,48.31999969482422,620800.0,44.20792007446289
2020-03-18,8917,44.68000030517578,606800.0,41.877708435058594
2020-03-19,14157,43.22000122070313,682400.0,39.75505065917969
2020-03-20,19479,44.65999984741211,289600.0,40.77392959594727
2020-03-23,43850,44.45000076293945,300800.0,41.44374465942383
2020-03-24,54112,45.66999816894531,307400.0,42.53809356689453
2020-03-25,66055,48.04999923706055,294900.0,44.472068786621094
2020-03-26,84091,47.79999923706055,281800.0,44.71735763549805
2020-03-27,102276,46.68999862670898,406600.0,42.93432235717773
2020-03-30,162707,48.02000045776367,390100.0,44.96264266967773
2020-03-31,188724,49.31999969482422,223500.0,45.94378280639648
2020-04-01,214205,48.56999969482422,316500.0,44.83999633789063
